"name","best","seed"
"ta005",13472,3901864216
"ta006",13072,3072686748
"ta007",13479,709331870
"ta008",13882,3270072437
"ta009",14047,914161815
"ta010",12907,1168343004
"ta011",20657,2938944577
"ta012",22374,4160704882
"ta013",19548,1845279976
"ta014",18483,1229592922
"ta015",18343,4151451177
"ta016",18998,2340479231
"ta017",18089,2642844602
"ta018",20006,1254955591
"ta019",20106,4223199705
"ta020",21015,4025200286
"ta021",33485,644201108
"ta022",31165,2074121761
"ta023",33027,3938946518
"ta024",31011,2151247472
"ta025",34199,3551535946
"ta026",32085,3543794155
"ta027",32544,955531656
"ta028",32141,4097428492
"ta029",33078,1465062139
"ta030",31736,3300416487
"ta031",64798,1807429970
"ta032",68080,2012785662
"ta033",63107,4074726642
"ta034",68474,2160869690
"ta035",69369,2813303099
"ta036",66785,120859450
"ta037",66225,2017970804
"ta038",64285,723563687
"ta039",62983,2787658721
"ta040",69035,252098694
"ta041",87194,3601873523
"ta042",82470,387912043
"ta043",79658,2479567056
"ta044",86296,2356206098
"ta045",86499,1126151534
"ta046",86292,1425852684
"ta047",88366,1802787677
"ta048",87176,228259748
"ta049",85657,1322947823
"ta050",88024,414749776
"ta051",125576,349161059
"ta052",118483,276062491
"ta053",115704,2247545869
"ta054",120131,1445109437
"ta055",116953,2697934147
"ta056",119827,798798964
"ta057",122742,4254671679
"ta058",121396,1635092113
"ta059",121484,1469672352
"ta060",123949,2803014621
"ta061",254165,3063324167
"ta062",243776,902508327
"ta063",238919,1682553160
"ta064",228373,2597673794
"ta065",240982,128724349
"ta066",233320,1317944479
"ta067",241284,808608815
"ta068",232318,1693772800
"ta069",248749,273945558
"ta070",244848,4037792953
"ta071",298926,887278239
"ta072",275696,3354597824
"ta073",288724,2702772927
"ta074",303287,3172999975
"ta075",284720,2371472057
"ta076",270591,3139711463
"ta077",280786,3153969164
"ta078",292887,199869675
"ta079",303266,3677385769
"ta080",293059,250345527
"ta081",367532,4134790214
"ta082",373384,1860992811
"ta083",371280,4022955108
"ta084",373574,3459461932
"ta085",369658,4087085184
"ta086",374688,2733928537
"ta087",373319,1582584568
"ta088",385047,1692895662
"ta089",376335,1935008057
"ta090",377967,2554754977
"ta091",1047556,1385770705
"ta092",1042673,3128077541
"ta093",1052405,867708606
"ta094",1034280,2079839683
"ta095",1037208,3996565380
"ta096",1008338,2817546328
"ta097",1059308,4160422120
"ta098",1045620,1794961282
"ta099",1027520,2831767660
"ta100",1034694,1971695697
"ta101",1222355,547638996
"ta102",1244014,1847331715
"ta103",1265174,3887248317
"ta104",1244770,678269
"ta105",1227319,1859530924
"ta106",1228996,987666117
"ta107",1244953,343366511
"ta108",1254761,3101325597
"ta109",1234126,2506306744
"ta110",1247057,208684726
"ta111",6702311,1868794685
"ta112",6824991,846282256
"ta113",6727366,3397089743
"ta114",6779720,4164504125
"ta115",6728734,1267498062
"ta116",6730127,2390189494
"ta117",6682230,2362624228
"ta118",6757364,1717291699
"ta119",6693661,3511545648
"ta120",6759978,1998944015
"ta001",14002,406797685
"ta002",15151,1319075769
"ta003",13065,1620838515
"ta004",15412,2833366667
"ta005",13472,1769628821
"ta006",13072,931750721
"ta007",13479,3921042531
"ta008",13882,3408106890
"ta009",14157,1332463563
"ta010",12907,3886062376
"ta011",20650,2723697054
"ta012",22374,687717006
"ta013",19548,2978545854
"ta014",18483,1791452
"ta015",18343,3807791344
"ta016",18928,688171873
"ta017",18073,3536238157
"ta018",19970,1799850402
"ta019",20106,236240145
"ta020",20872,774625234
"ta021",33540,2603622375
